word	count	note
atc	10	short-token
9107	10	numeric-out-of-range
800	10	numeric-out-of-range
jl	10	short-token
812	10	numeric-out-of-range
sea	10	short-token
3am	10	alphanumeric-oddity
truck1	10	alphanumeric-oddity
7010	10	numeric-out-of-range
fam	9	short-token
non-emergency	9	possible-hyphenated-artefact
eat	9	short-token
50s	9	alphanumeric-oddity
490	9	numeric-out-of-range
2810	9	numeric-out-of-range
mad	9	short-token
428	9	numeric-out-of-range
916	9	numeric-out-of-range
war	9	short-token
129th	9	alphanumeric-oddity
922	9	numeric-out-of-range
267	9	numeric-out-of-range
las	9	short-token
943	9	numeric-out-of-range
247	9	numeric-out-of-range
dls	9	short-token
828	9	numeric-out-of-range
ton	9	short-token
aaa	9	short-token
731	9	numeric-out-of-range
amy	9	short-token
ca	9	short-token
egg	9	short-token
kim	9	short-token
light-skinned	9	possible-hyphenated-artefact
yo	9	short-token
hop	9	short-token
820	9	numeric-out-of-range
iax	9	short-token
829	9	numeric-out-of-range
845	9	numeric-out-of-range
166	9	numeric-out-of-range
30th	9	alphanumeric-oddity
lca	9	short-token
dmv	9	short-token
719	9	numeric-out-of-range
vs	9	short-token
193	9	numeric-out-of-range
ii	9	short-token
jam	9	short-token
cc	9	short-token
lb	9	short-token
dow	9	short-token
935	9	numeric-out-of-range
932	9	numeric-out-of-range
rig	9	short-token
al	9	short-token
704	9	numeric-out-of-range
art	9	short-token
913	9	numeric-out-of-range
830	9	numeric-out-of-range
616	9	numeric-out-of-range
pet	9	short-token
515	9	numeric-out-of-range
538	9	numeric-out-of-range
716	9	numeric-out-of-range
2550	9	numeric-out-of-range
5601	9	numeric-out-of-range
708	9	numeric-out-of-range
mix	9	short-token
805	9	numeric-out-of-range
777	9	numeric-out-of-range
2570	9	numeric-out-of-range
2507	9	numeric-out-of-range
10107	9	numeric-out-of-range
04107	9	numeric-out-of-range
199	9	numeric-out-of-range
10419	9	numeric-out-of-range
een	9	short-token
923	8	numeric-out-of-range
jay	8	short-token
723	8	numeric-out-of-range
bro	8	short-token
sex	8	short-token
6910	8	numeric-out-of-range
lpg	8	short-token
266	8	numeric-out-of-range
rim	8	short-token
608	8	numeric-out-of-range
8108	8	numeric-out-of-range
9mm	8	alphanumeric-oddity
rid	8	short-token
907	8	numeric-out-of-range
342	8	numeric-out-of-range
817	8	numeric-out-of-range
112th	8	alphanumeric-oddity
2505	8	numeric-out-of-range
823	8	numeric-out-of-range
mil	8	short-token
341	8	numeric-out-of-range
q19	8	alphanumeric-oddity
mba	8	short-token
zip	8	short-token
toe	8	short-token
ski	8	short-token
281	8	numeric-out-of-range
841	8	numeric-out-of-range
pov	8	short-token
2907	8	numeric-out-of-range
ean	8	short-token
785	8	numeric-out-of-range
three-story	8	possible-hyphenated-artefact
705	8	numeric-out-of-range
ci	8	short-token
fyi	8	short-token
60s	8	alphanumeric-oddity
bin	8	short-token
244	8	numeric-out-of-range
670	8	numeric-out-of-range
gci	8	short-token
rca	8	short-token
927	8	numeric-out-of-range
747	8	numeric-out-of-range
866	8	numeric-out-of-range
536	8	numeric-out-of-range
dti	8	short-token
551	8	numeric-out-of-range
bat	8	short-token
19c	8	alphanumeric-oddity
upl	8	short-token
707	8	numeric-out-of-range
4401	8	numeric-out-of-range
909	8	numeric-out-of-range
tsa	8	short-token
22107	8	numeric-out-of-range
20108	8	numeric-out-of-range
9117	8	numeric-out-of-range
10108	8	numeric-out-of-range
eva	7	short-token
23rd	7	alphanumeric-oddity
377	7	numeric-out-of-range
539	7	numeric-out-of-range
726	7	numeric-out-of-range
